Title,class
"""नेपालले विश्वकप खेल्न सय वर्ष कुर्नुपर्छ""",1
भारतबाट फर्कनेमा संक्रमित पनि,1
पर्दाफाश: डोनाल्ड ट्रम्प ज्ञात कोकेन तस्कर (भिडियो) संरक्षित,0
अमूल्य! UNHINGED FEMINIST ट्रम्पका प्रवक्तामा ब्यालिस्टिक जान्छ [भिडियो],0
फुटबलर प्रिजेनलाई आर्थिक सहयोग,1
विशेष चुनाव र इन्टरनेट पछि ट्रम्पले डेमोक्र्याटहरूलाई आफ्नो A** चुम्बन गर्न बताउँछन्।,0
"TINA FE ब्लास्ट ट्रम्प को लागि मतदान को लागी केवल गोरा महिलाहरु को लागी: ""तपाईले टाढा हेर्न सक्नुहुन्न"" ... यो सेतो महिला टीना फे को लागी एक प्रश्न छ!",0
बोयलर कोठा #88 - हेर: सत्यको तपाईंको नयाँ मन्त्रालय,0
'ब्रेभ स्निपर्स'ले 'एन*****' लाई गोली हान्ने आशा गरेपछि ट्रम्प प्रतिनिधिलाई आरएनसीबाट बाहिर निकालियो,0
मिश्रको नयाँ पुस्तक फागुन अन्तिम साता बजारमा आउने,1
वाह! हिलारीले आतंककारीहरूलाई आर्थिक सहयोग गर्ने दाउमा दाउरा दिए...प्रेस मौन छ [भिडियो],0
ब्रेकिंग: माइक पेन्सले हिलारीलाई धम्की दिने पागल ट्रम्प समर्थकलाई बन्द गरे (भिडियो),0
अनौठो: ट्रम्प 'इन्टरनेट टेकओभर' डर स्टोरीले क्यानाडालाई नेट अभिलेख प्रबन्ध गर्न कल गर्दछ,0
अल्टोन स्टर्लिङको मृत्युसँगै प्रहरीले यो वर्ष अहिलेसम्म ११४ काला पुरुष मारेको छ,0
"गुल्मीमा ३६ जनामा सङ्क्रमण पुष्टि, सक्रिय सङ्क्रमित १४२ पुगे",1
मास्क नलगाउनेलाई सार्वजनिक यातायातमा प्रवेश निषेध,1
‘अब दाइहरू अभिभावक बनेर बस्नुपर्छ’ : प्रकाशमान सिंह,1
त्रियुगा नगरको बजेट १ खर्ब २३ करोड,1
ट्रम्पले स्टीफन कोलबर्टले भर्खर उसलाई के गरे घृणा गर्नेछन् - यो शुद्ध कमेडी प्रतिभा हो (भिडियो),0
शिक्षक/विद्यार्थीमा संक्रमण देखिए कम्तीमा एक साता विद्यालय बन्द गर्न महानगरको निर्देशन,1
कुइनेटो र ऐना उत्कृष्ट चलचित्र,1
अफगानिस्तान ठूलो अन्तरले विजयी,1
उत्तरी क्यारोलिना चिया पार्टीहरूले भर्खरै स्वीकार गरे तिनीहरू साँचो आतंकवादी हुन्; ट्रम्प प्रशासनले केही गर्दैन,0
बेनीमा नदी नियन्त्रण आयोजना सुरु,1
"ब्रॉडवेको ""ह्यामिल्टन"" र ""रङ पर्पल"" को कलाकारहरूले पतित आइकन राजकुमारलाई आश्चर्यजनक सांगीतिक श्रद्धांजलि दिनुहोस् (भिडियो)",0
आर्मी प्रारम्भिक छनोटको दोस्रो चरणमा,1
दुई फ्लोरिडा सांसदहरूले भर्खरै तूफान राहतको बिरूद्ध मतदान गरे जब इर्माले उनीहरूको राज्यमा प्रहार गर्दछ,0
मापदण्ड मिचेर नर्सिङ पढाउन प्रधानमन्त्रीको दबाब,1
